"","incgroup_prepost","presapp_track"
"1511","$5,000-$9,999","Right Direction"
"1512","$15,000-$17,499","Wrong Track"
"1513","$80,000-$89,999","Wrong Track"
"1514","$45,000-$49,999","Wrong Track"
"1515","$20,000-$22,499",NA
"1516","$75,000-$79,999","Wrong Track"
"1517","$17,500-$19,999","Wrong Track"
"1518","$90,000-$99,999","Wrong Track"
"1519","$35,000-$39,999","Wrong Track"
"1520","$22,500-$24,999","Right Direction"
"1521","$50,000-$54,999","Right Direction"
"1522","$75,000-$79,999","Wrong Track"
"1523","$35,000-$39,999","Wrong Track"
"1524","$50,000-$54,999","Wrong Track"
"1525","$25,000-$27,499","Right Direction"
"1526","Under $5,000","Wrong Track"
"1527","$35,000-$39,999","Wrong Track"
"1528","$15,000-$17,499","Right Direction"
"1529","$45,000-$49,999","Wrong Track"
"1530","$30,000-$34,999","Wrong Track"
"1531","$20,000-$22,499","Wrong Track"
"1532","$20,000-$22,499","Wrong Track"
"1533","$100,000-$109,999","Right Direction"
"1534","$175,000-$249,999","Wrong Track"
"1535","$50,000-$54,999","Right Direction"
"1536","$90,000-$99,999","Right Direction"
"1537","$25,000-$27,499","Wrong Track"
"1538","$12,500-$14,999","Right Direction"
"1539","$175,000-$249,999","Wrong Track"
"1540","$70,000-$74,999","Right Direction"
"1541","$30,000-$34,999","Wrong Track"
"1542","$10,000-$12,499","Right Direction"
"1543","$150,000-$174,999","Wrong Track"
"1544","$125,000-$149,999","Right Direction"
"1545","$90,000-$99,999","Right Direction"
"1546","$80,000-$89,999","Wrong Track"
"1547","$45,000-$49,999","Wrong Track"
"1548","$20,000-$22,499","Right Direction"
"1549",NA,"Right Direction"
"1550",NA,"Right Direction"
"1551","$110,000-$124,999","Right Direction"
"1552","$100,000-$109,999","Wrong Track"
"1553","$30,000-$34,999","Wrong Track"
"1554","$65,000-$69,999","Wrong Track"
"1555","$15,000-$17,499","Wrong Track"
"1556","Under $5,000","Right Direction"
"1557","Under $5,000","Right Direction"
"1558","$30,000-$34,999","Wrong Track"
"1559","$50,000-$54,999","Right Direction"
"1560","$5,000-$9,999","Right Direction"
"1561","$20,000-$22,499","Right Direction"
"1562","Under $5,000","Wrong Track"
"1563","$20,000-$22,499","Wrong Track"
"1564","Under $5,000","Wrong Track"
"1565","Under $5,000","Wrong Track"
"1566","$5,000-$9,999","Wrong Track"
"1567","$60,000-$64,999","Wrong Track"
"1568","$45,000-$49,999","Wrong Track"
"1569","$30,000-$34,999","Wrong Track"
"1570","$35,000-$39,999","Wrong Track"
"1571","$10,000-$12,499","Right Direction"
"1572","$20,000-$22,499","Wrong Track"
"1573","$40,000-$44,999","Wrong Track"
"1574",NA,"Wrong Track"
"1575","$30,000-$34,999","Wrong Track"
"1576","$20,000-$22,499","Wrong Track"
"1577","Under $5,000","Right Direction"
"1578","$50,000-$54,999","Right Direction"
"1579","$50,000-$54,999","Wrong Track"
"1580","$50,000-$54,999","Wrong Track"
"1581","$27,500-$29,999","Wrong Track"
"1582","$40,000-$44,999","Wrong Track"
"1583","$60,000-$64,999","Wrong Track"
"1584","$5,000-$9,999","Wrong Track"
"1585","$5,000-$9,999","Right Direction"
"1586","Under $5,000","Wrong Track"
"1587","$250,000 Or More","Right Direction"
"1588","$100,000-$109,999","Wrong Track"
"1589","$10,000-$12,499","Wrong Track"
"1590","$12,500-$14,999","Wrong Track"
"1591","Under $5,000","Right Direction"
"1592","$5,000-$9,999","Wrong Track"
"1593","$40,000-$44,999","Right Direction"
"1594","$12,500-$14,999","Wrong Track"
"1595","Under $5,000","Wrong Track"
"1596","$40,000-$44,999","Wrong Track"
"1597","$25,000-$27,499","Wrong Track"
"1598","$250,000 Or More","Wrong Track"
"1599","$175,000-$249,999","Wrong Track"
"1600","Under $5,000","Wrong Track"
"1601","Under $5,000","Wrong Track"
"1602","$60,000-$64,999","Wrong Track"
"1603","$50,000-$54,999","Wrong Track"
"1604","$5,000-$9,999","Wrong Track"
"1605","$10,000-$12,499","Right Direction"
"1606","$10,000-$12,499","Wrong Track"
"1607","$15,000-$17,499","Wrong Track"
"1608","Under $5,000","Wrong Track"
"1609","Under $5,000","Wrong Track"
"1610","$15,000-$17,499","Wrong Track"
"1611","Under $5,000","Wrong Track"
"1612","$65,000-$69,999","Wrong Track"
"1613","$60,000-$64,999","Wrong Track"
"1614","$35,000-$39,999","Wrong Track"
"1615","$75,000-$79,999","Wrong Track"
"1616","$10,000-$12,499","Right Direction"
"1617","$175,000-$249,999","Wrong Track"
"1618","Under $5,000","Wrong Track"
"1619","$45,000-$49,999","Wrong Track"
"1620","$20,000-$22,499","Wrong Track"
"1621","$12,500-$14,999","Wrong Track"
"1622","Under $5,000","Wrong Track"
"1623","$40,000-$44,999","Right Direction"
"1624","$40,000-$44,999","Right Direction"
"1625","$10,000-$12,499","Wrong Track"
"1626","$20,000-$22,499","Right Direction"
"1627","$45,000-$49,999","Wrong Track"
"1628","$80,000-$89,999","Wrong Track"
"1629","Under $5,000","Wrong Track"
"1630","$110,000-$124,999","Right Direction"
"1631","$45,000-$49,999","Wrong Track"
"1632","$60,000-$64,999","Right Direction"
"1633","$175,000-$249,999","Wrong Track"
"1634","$60,000-$64,999","Wrong Track"
"1635","$55,000-$59,999","Wrong Track"
"1636","$55,000-$59,999","Right Direction"
"1637",NA,"Wrong Track"
"1638","$90,000-$99,999","Right Direction"
"1639","$17,500-$19,999","Right Direction"
"1640","$40,000-$44,999","Right Direction"
"1641","$45,000-$49,999","Wrong Track"
"1642","$40,000-$44,999","Wrong Track"
"1643","$30,000-$34,999","Wrong Track"
"1644","$60,000-$64,999","Wrong Track"
"1645","$70,000-$74,999","Wrong Track"
"1646",NA,"Wrong Track"
"1647","$5,000-$9,999",NA
"1648","$90,000-$99,999","Right Direction"
"1649","$12,500-$14,999","Right Direction"
"1650",NA,"Wrong Track"
"1651","$5,000-$9,999","Right Direction"
"1652","$50,000-$54,999","Wrong Track"
"1653","$15,000-$17,499",NA
"1654","$65,000-$69,999","Wrong Track"
"1655","Under $5,000","Wrong Track"
"1656","Under $5,000","Wrong Track"
"1657","$30,000-$34,999","Wrong Track"
"1658","Under $5,000","Wrong Track"
"1659","$20,000-$22,499","Wrong Track"
"1660","$80,000-$89,999","Wrong Track"
"1661","$45,000-$49,999","Wrong Track"
"1662","$15,000-$17,499","Right Direction"
"1663","$50,000-$54,999","Right Direction"
"1664","$25,000-$27,499","Wrong Track"
"1665","$50,000-$54,999","Right Direction"
"1666","$22,500-$24,999","Right Direction"
"1667","$27,500-$29,999","Right Direction"
"1668",NA,"Right Direction"
"1669","$10,000-$12,499","Right Direction"
"1670","Under $5,000","Wrong Track"
"1671","$55,000-$59,999","Wrong Track"
"1672","$175,000-$249,999","Wrong Track"
"1673","$100,000-$109,999","Right Direction"
"1674","$5,000-$9,999","Wrong Track"
"1675","$25,000-$27,499","Wrong Track"
"1676","$175,000-$249,999","Wrong Track"
"1677","$65,000-$69,999","Wrong Track"
"1678","$70,000-$74,999","Wrong Track"
"1679","$175,000-$249,999",NA
"1680","$80,000-$89,999","Wrong Track"
"1681","$100,000-$109,999","Wrong Track"
"1682",NA,"Right Direction"
"1683","$175,000-$249,999","Wrong Track"
"1684","$35,000-$39,999","Right Direction"
"1685",NA,"Wrong Track"
"1686","$5,000-$9,999","Wrong Track"
"1687","$12,500-$14,999","Wrong Track"
"1688","Under $5,000","Wrong Track"
"1689","$15,000-$17,499","Right Direction"
"1690","Under $5,000","Wrong Track"
"1691","$10,000-$12,499","Wrong Track"
"1692","Under $5,000","Wrong Track"
"1693","$15,000-$17,499","Right Direction"
"1694","$90,000-$99,999","Right Direction"
"1695","$80,000-$89,999","Wrong Track"
"1696","$40,000-$44,999","Wrong Track"
"1697","$250,000 Or More","Wrong Track"
"1698","$55,000-$59,999","Right Direction"
"1699","$10,000-$12,499","Wrong Track"
"1700","Under $5,000","Right Direction"
"1701","Under $5,000","Right Direction"
"1702","$22,500-$24,999",NA
"1703","$30,000-$34,999","Wrong Track"
"1704","$125,000-$149,999","Right Direction"
"1705","$175,000-$249,999","Right Direction"
"1706","$150,000-$174,999","Wrong Track"
"1707","$35,000-$39,999","Wrong Track"
"1708","$12,500-$14,999","Wrong Track"
"1709","$17,500-$19,999","Wrong Track"
"1710","$45,000-$49,999","Wrong Track"
"1711","$30,000-$34,999","Wrong Track"
"1712","$150,000-$174,999","Wrong Track"
"1713","$75,000-$79,999",NA
"1714","$90,000-$99,999","Wrong Track"
"1715","$15,000-$17,499","Wrong Track"
"1716","$80,000-$89,999","Right Direction"
"1717","$12,500-$14,999","Right Direction"
"1718","$100,000-$109,999","Wrong Track"
"1719",NA,"Wrong Track"
"1720","$40,000-$44,999","Wrong Track"
"1721","$50,000-$54,999","Wrong Track"
"1722","$125,000-$149,999","Wrong Track"
"1723","$65,000-$69,999","Right Direction"
"1724","Under $5,000","Wrong Track"
"1725","$35,000-$39,999","Wrong Track"
"1726","$40,000-$44,999","Right Direction"
"1727","$60,000-$64,999","Wrong Track"
"1728","$80,000-$89,999","Right Direction"
"1729","$90,000-$99,999","Right Direction"
"1730","$15,000-$17,499","Wrong Track"
"1731","$45,000-$49,999","Wrong Track"
"1732","$35,000-$39,999","Wrong Track"
"1733","$5,000-$9,999","Wrong Track"
"1734","$15,000-$17,499","Wrong Track"
"1735","$35,000-$39,999","Right Direction"
"1736","Under $5,000","Wrong Track"
"1737","$90,000-$99,999","Right Direction"
"1738","$50,000-$54,999","Right Direction"
"1739","$22,500-$24,999","Right Direction"
"1740","$15,000-$17,499","Wrong Track"
"1741","$5,000-$9,999","Wrong Track"
"1742","$20,000-$22,499","Wrong Track"
"1743","Under $5,000",NA
"1744","$35,000-$39,999","Wrong Track"
"1745","$25,000-$27,499","Wrong Track"
"1746","$20,000-$22,499","Right Direction"
"1747","$5,000-$9,999","Wrong Track"
"1748","$110,000-$124,999","Wrong Track"
"1749","$100,000-$109,999","Wrong Track"
"1750","$175,000-$249,999","Wrong Track"
"1751","Under $5,000","Wrong Track"
"1752","$35,000-$39,999","Wrong Track"
"1753","$35,000-$39,999","Wrong Track"
"1754","$5,000-$9,999","Wrong Track"
"1755","$30,000-$34,999","Right Direction"
"1756","$75,000-$79,999","Right Direction"
"1757","Under $5,000","Right Direction"
"1758","Under $5,000","Right Direction"
"1759","$55,000-$59,999","Right Direction"
"1760","$20,000-$22,499","Wrong Track"
"1761","$70,000-$74,999","Wrong Track"
"1762","Under $5,000","Wrong Track"
"1763","$12,500-$14,999","Right Direction"
"1764","$15,000-$17,499","Wrong Track"
"1765","$17,500-$19,999","Wrong Track"
"1766","$30,000-$34,999","Wrong Track"
"1767","Under $5,000","Wrong Track"
"1768","$90,000-$99,999","Wrong Track"
"1769","$80,000-$89,999","Wrong Track"
"1770","$20,000-$22,499","Right Direction"
"1771",NA,"Right Direction"
"1772","Under $5,000","Right Direction"
"1773","$50,000-$54,999","Right Direction"
"1774","$90,000-$99,999","Wrong Track"
"1775","Under $5,000","Right Direction"
"1776",NA,"Right Direction"
"1777","$110,000-$124,999","Right Direction"
"1778","$10,000-$12,499","Wrong Track"
"1779","$10,000-$12,499","Wrong Track"
"1780","$12,500-$14,999","Wrong Track"
"1781","Under $5,000","Right Direction"
"1782","$5,000-$9,999","Right Direction"
"1783",NA,"Right Direction"
"1784","$25,000-$27,499",NA
"1785","Under $5,000","Wrong Track"
"1786","Under $5,000","Wrong Track"
"1787","$22,500-$24,999","Right Direction"
"1788","$55,000-$59,999","Right Direction"
"1789","$150,000-$174,999","Wrong Track"
"1790","$10,000-$12,499","Right Direction"
"1791",NA,"Wrong Track"
"1792","$60,000-$64,999","Wrong Track"
"1793","$55,000-$59,999","Right Direction"
"1794","$35,000-$39,999","Wrong Track"
"1795",NA,"Wrong Track"
"1796","$25,000-$27,499","Wrong Track"
"1797","$30,000-$34,999","Right Direction"
"1798","$10,000-$12,499","Right Direction"
"1799","$25,000-$27,499","Wrong Track"
"1800","$20,000-$22,499","Right Direction"
"1801","$5,000-$9,999","Right Direction"
"1802","$45,000-$49,999","Wrong Track"
"1803","$10,000-$12,499","Right Direction"
"1804","$12,500-$14,999","Right Direction"
"1805","$35,000-$39,999","Wrong Track"
"1806","$70,000-$74,999","Right Direction"
"1807","$22,500-$24,999","Right Direction"
"1808","$30,000-$34,999","Right Direction"
"1809","$80,000-$89,999","Wrong Track"
"1810","$125,000-$149,999","Wrong Track"
"1811","Under $5,000","Right Direction"
"1812","$30,000-$34,999","Wrong Track"
"1813","$20,000-$22,499","Right Direction"
"1814","$30,000-$34,999","Wrong Track"
"1815","$10,000-$12,499","Right Direction"
"1816","$35,000-$39,999","Right Direction"
"1817",NA,"Wrong Track"
"1818","$10,000-$12,499","Right Direction"
"1819","$20,000-$22,499","Right Direction"
"1820","$10,000-$12,499","Right Direction"
"1821","$15,000-$17,499","Right Direction"
"1822","$12,500-$14,999","Right Direction"
"1823","$15,000-$17,499","Right Direction"
"1824","Under $5,000",NA
"1825","$25,000-$27,499","Right Direction"
"1826","Under $5,000",NA
"1827","$25,000-$27,499","Wrong Track"
"1828","$80,000-$89,999","Right Direction"
"1829","$12,500-$14,999","Wrong Track"
"1830","$45,000-$49,999","Wrong Track"
"1831","$60,000-$64,999","Wrong Track"
"1832","Under $5,000","Wrong Track"
"1833",NA,"Wrong Track"
"1834","$15,000-$17,499","Wrong Track"
"1835","$15,000-$17,499","Wrong Track"
"1836","$70,000-$74,999","Wrong Track"
"1837",NA,"Right Direction"
"1838","$10,000-$12,499","Wrong Track"
"1839","$80,000-$89,999","Wrong Track"
"1840","$65,000-$69,999","Wrong Track"
"1841","$125,000-$149,999","Wrong Track"
"1842","$60,000-$64,999","Wrong Track"
"1843","$125,000-$149,999","Right Direction"
"1844","$40,000-$44,999","Right Direction"
"1845","$150,000-$174,999","Wrong Track"
"1846","Under $5,000","Wrong Track"
"1847","$20,000-$22,499","Right Direction"
"1848","$27,500-$29,999","Right Direction"
"1849","$45,000-$49,999","Wrong Track"
"1850","$70,000-$74,999","Right Direction"
"1851",NA,"Right Direction"
"1852","$25,000-$27,499","Wrong Track"
"1853","$10,000-$12,499","Wrong Track"
"1854","$30,000-$34,999","Right Direction"
"1855","$10,000-$12,499","Wrong Track"
"1856","Under $5,000","Right Direction"
"1857","$10,000-$12,499","Right Direction"
"1858","$110,000-$124,999","Wrong Track"
"1859","$100,000-$109,999","Wrong Track"
"1860","$110,000-$124,999","Wrong Track"
"1861","$25,000-$27,499","Wrong Track"
"1862","$60,000-$64,999","Right Direction"
"1863","$15,000-$17,499","Wrong Track"
"1864","$150,000-$174,999","Wrong Track"
"1865",NA,"Wrong Track"
"1866","$27,500-$29,999","Right Direction"
"1867","$20,000-$22,499","Wrong Track"
"1868","$30,000-$34,999","Right Direction"
"1869","$25,000-$27,499","Right Direction"
"1870","$70,000-$74,999","Wrong Track"
"1871","$22,500-$24,999","Wrong Track"
"1872","$40,000-$44,999","Wrong Track"
"1873","$45,000-$49,999","Right Direction"
"1874",NA,"Wrong Track"
"1875","$60,000-$64,999","Right Direction"
"1876",NA,"Wrong Track"
"1877","$12,500-$14,999","Wrong Track"
"1878","$12,500-$14,999","Wrong Track"
"1879","$40,000-$44,999","Right Direction"
"1880","Under $5,000","Right Direction"
"1881","$35,000-$39,999","Wrong Track"
"1882","$15,000-$17,499","Wrong Track"
"1883","$20,000-$22,499","Right Direction"
"1884","$20,000-$22,499","Wrong Track"
"1885","$80,000-$89,999","Right Direction"
"1886","$100,000-$109,999","Wrong Track"
"1887","$80,000-$89,999","Wrong Track"
"1888","$250,000 Or More","Right Direction"
"1889","$125,000-$149,999","Wrong Track"
"1890","$40,000-$44,999","Wrong Track"
"1891","$35,000-$39,999","Right Direction"
"1892","$35,000-$39,999","Wrong Track"
"1893","$110,000-$124,999","Wrong Track"
"1894","$10,000-$12,499","Right Direction"
"1895","$40,000-$44,999","Right Direction"
"1896","$27,500-$29,999","Wrong Track"
"1897",NA,"Right Direction"
"1898","$45,000-$49,999","Wrong Track"
"1899","$70,000-$74,999","Right Direction"
"1900","$5,000-$9,999","Wrong Track"
"1901","$175,000-$249,999","Wrong Track"
"1902","$80,000-$89,999","Wrong Track"
"1903","$90,000-$99,999","Wrong Track"
"1904","$5,000-$9,999","Wrong Track"
"1905","$15,000-$17,499","Wrong Track"
"1906","$30,000-$34,999","Wrong Track"
"1907","Under $5,000","Wrong Track"
"1908","$50,000-$54,999","Wrong Track"
"1909","$20,000-$22,499","Right Direction"
"1910","$10,000-$12,499","Right Direction"
"1911","$15,000-$17,499","Right Direction"
"1912","$45,000-$49,999","Wrong Track"
"1913","$50,000-$54,999","Wrong Track"
"1914","$75,000-$79,999","Wrong Track"
"1915","$10,000-$12,499","Right Direction"
"1916","$12,500-$14,999","Wrong Track"
"1917","Under $5,000","Wrong Track"
"1918","$35,000-$39,999","Wrong Track"
"1919","Under $5,000",NA
"1920","$35,000-$39,999","Right Direction"
"1921","$60,000-$64,999","Wrong Track"
"1922","$30,000-$34,999","Wrong Track"
"1923","$60,000-$64,999","Wrong Track"
"1924","$22,500-$24,999","Right Direction"
"1925","$100,000-$109,999","Wrong Track"
"1926","$30,000-$34,999","Right Direction"
"1927","$20,000-$22,499",NA
"1928","Under $5,000","Wrong Track"
"1929","$50,000-$54,999","Right Direction"
"1930","$90,000-$99,999","Right Direction"
"1931","$12,500-$14,999","Right Direction"
"1932","$30,000-$34,999","Right Direction"
"1933","$25,000-$27,499","Wrong Track"
"1934","$5,000-$9,999","Right Direction"
"1935","$40,000-$44,999","Wrong Track"
"1936","$35,000-$39,999","Wrong Track"
"1937","$5,000-$9,999","Wrong Track"
"1938","$30,000-$34,999","Right Direction"
"1939","$175,000-$249,999","Right Direction"
"1940","$20,000-$22,499","Right Direction"
"1941","$50,000-$54,999","Wrong Track"
"1942",NA,"Wrong Track"
"1943","$60,000-$64,999","Right Direction"
"1944","$12,500-$14,999",NA
"1945","$80,000-$89,999","Wrong Track"
"1946",NA,"Wrong Track"
"1947","$60,000-$64,999","Wrong Track"
"1948","$35,000-$39,999","Wrong Track"
"1949","$5,000-$9,999","Wrong Track"
"1950","$30,000-$34,999","Right Direction"
"1951","$20,000-$22,499",NA
"1952","$20,000-$22,499","Wrong Track"
"1953","$10,000-$12,499","Right Direction"
"1954","$55,000-$59,999","Wrong Track"
"1955","$110,000-$124,999","Wrong Track"
"1956","$30,000-$34,999","Wrong Track"
"1957","$80,000-$89,999","Wrong Track"
"1958","$30,000-$34,999","Wrong Track"
"1959","$60,000-$64,999","Wrong Track"
"1960","$80,000-$89,999","Wrong Track"
"1961","$25,000-$27,499","Right Direction"
"1962","$250,000 Or More","Wrong Track"
"1963","$65,000-$69,999","Wrong Track"
"1964","$12,500-$14,999","Wrong Track"
"1965","$60,000-$64,999","Wrong Track"
"1966","$125,000-$149,999",NA
"1967","$40,000-$44,999","Right Direction"
"1968","$65,000-$69,999","Right Direction"
"1969","$50,000-$54,999","Wrong Track"
"1970","$50,000-$54,999","Wrong Track"
"1971","$55,000-$59,999","Right Direction"
"1972","$50,000-$54,999","Right Direction"
"1973","$70,000-$74,999","Wrong Track"
"1974","Under $5,000","Wrong Track"
"1975","$80,000-$89,999","Right Direction"
"1976","$17,500-$19,999","Right Direction"
"1977","$125,000-$149,999","Wrong Track"
"1978","Under $5,000","Wrong Track"
"1979","$75,000-$79,999","Wrong Track"
"1980","$35,000-$39,999","Wrong Track"
"1981","$10,000-$12,499","Wrong Track"
"1982","$150,000-$174,999","Wrong Track"
"1983","$20,000-$22,499","Right Direction"
"1984","$5,000-$9,999","Wrong Track"
"1985","$40,000-$44,999","Wrong Track"
"1986","Under $5,000","Wrong Track"
"1987","$175,000-$249,999","Wrong Track"
"1988","$40,000-$44,999","Wrong Track"
"1989","$150,000-$174,999","Right Direction"
"1990","$10,000-$12,499","Right Direction"
"1991","$75,000-$79,999","Right Direction"
"1992","$60,000-$64,999","Right Direction"
"1993","$15,000-$17,499","Right Direction"
"1994","Under $5,000","Wrong Track"
"1995","Under $5,000","Right Direction"
"1996","$40,000-$44,999","Right Direction"
"1997","$5,000-$9,999","Wrong Track"
"1998","$20,000-$22,499","Right Direction"
"1999",NA,"Right Direction"
"2000","$20,000-$22,499","Wrong Track"
"2001","$12,500-$14,999","Wrong Track"
"2002","$70,000-$74,999","Wrong Track"
"2003","$35,000-$39,999","Right Direction"
"2004","$50,000-$54,999","Right Direction"
"2005","$50,000-$54,999","Right Direction"
"2006","$175,000-$249,999","Wrong Track"
"2007","$5,000-$9,999","Wrong Track"
"2008","$10,000-$12,499","Wrong Track"
"2009","$15,000-$17,499",NA
"2010",NA,"Right Direction"
"2011","Under $5,000","Right Direction"
"2012","$40,000-$44,999","Right Direction"
"2013","$50,000-$54,999","Wrong Track"
"2014","$40,000-$44,999","Right Direction"
"2015",NA,"Right Direction"
"2016","$75,000-$79,999","Right Direction"
"2017","$80,000-$89,999",NA
"2018","$50,000-$54,999","Right Direction"
"2019","$110,000-$124,999","Wrong Track"
"2020","Under $5,000","Right Direction"
"2021","$50,000-$54,999","Wrong Track"
"2022","$5,000-$9,999","Right Direction"
"2023","$55,000-$59,999","Wrong Track"
"2024","$17,500-$19,999","Right Direction"
"2025","$50,000-$54,999","Right Direction"
"2026","$50,000-$54,999","Wrong Track"
"2027","$5,000-$9,999","Right Direction"
"2028","$15,000-$17,499","Wrong Track"
"2029","$5,000-$9,999",NA
"2030","$175,000-$249,999","Wrong Track"
"2031","$50,000-$54,999","Wrong Track"
"2032","$10,000-$12,499","Wrong Track"
"2033","$30,000-$34,999","Right Direction"
"2034","$10,000-$12,499","Wrong Track"
"2035",NA,"Wrong Track"
"2036","$60,000-$64,999","Wrong Track"
"2037","$50,000-$54,999","Right Direction"
"2038","$80,000-$89,999","Right Direction"
"2039","$10,000-$12,499","Wrong Track"
"2040","$27,500-$29,999","Wrong Track"
"2041","$20,000-$22,499","Right Direction"
"2042","Under $5,000","Right Direction"
"2043","$17,500-$19,999","Wrong Track"
"2044","$25,000-$27,499","Right Direction"
"2045","$100,000-$109,999","Right Direction"
"2046","$25,000-$27,499","Right Direction"
"2047","$17,500-$19,999","Right Direction"
"2048",NA,"Right Direction"
"2049","$17,500-$19,999","Wrong Track"
"2050","$17,500-$19,999","Wrong Track"
"2051","Under $5,000","Wrong Track"
"2052","$35,000-$39,999","Right Direction"
"2053","$60,000-$64,999","Wrong Track"
"2054","$25,000-$27,499","Wrong Track"
"2055","$15,000-$17,499","Wrong Track"
"2056","$150,000-$174,999","Wrong Track"
"2057","$60,000-$64,999","Wrong Track"
"2058","$80,000-$89,999","Wrong Track"
"2059",NA,"Right Direction"
"2060","$40,000-$44,999","Wrong Track"
"2061","$125,000-$149,999","Wrong Track"
"2062","Under $5,000","Right Direction"
"2063","$20,000-$22,499","Right Direction"
"2064","$30,000-$34,999","Wrong Track"
"2065","$80,000-$89,999","Wrong Track"
"2066","Under $5,000","Right Direction"
"2067","$150,000-$174,999","Wrong Track"
"2068","$90,000-$99,999","Wrong Track"
"2069","$45,000-$49,999","Wrong Track"
"2070","$55,000-$59,999","Wrong Track"
"2071",NA,"Wrong Track"
"2072","$100,000-$109,999","Wrong Track"
"2073","$80,000-$89,999","Wrong Track"
"2074","$80,000-$89,999","Right Direction"
"2075","$50,000-$54,999","Wrong Track"
"2076","$35,000-$39,999","Wrong Track"
"2077","$75,000-$79,999","Wrong Track"
"2078","$30,000-$34,999","Right Direction"
"2079","$5,000-$9,999","Right Direction"
"2080","$40,000-$44,999","Right Direction"
"2081","$175,000-$249,999","Wrong Track"
"2082","$30,000-$34,999","Right Direction"
"2083","$75,000-$79,999","Wrong Track"
"2084","$75,000-$79,999","Wrong Track"
"2085","$5,000-$9,999","Right Direction"
"2086","$75,000-$79,999","Wrong Track"
"2087","$65,000-$69,999","Wrong Track"
"2088","$90,000-$99,999","Right Direction"
"2089","$250,000 Or More","Wrong Track"
"2090","$25,000-$27,499","Wrong Track"
"2091","$50,000-$54,999","Wrong Track"
"2092","$15,000-$17,499","Wrong Track"
"2093","$70,000-$74,999","Right Direction"
"2094","$35,000-$39,999","Wrong Track"
"2095","$50,000-$54,999","Wrong Track"
"2096","$55,000-$59,999","Right Direction"
"2097","$35,000-$39,999","Wrong Track"
"2098","$12,500-$14,999","Wrong Track"
"2099","$80,000-$89,999","Wrong Track"
"2100","$45,000-$49,999","Right Direction"
"2101","Under $5,000","Right Direction"
"2102","$25,000-$27,499","Wrong Track"
"2103","$35,000-$39,999","Wrong Track"
"2104","$50,000-$54,999","Right Direction"
"2105","$65,000-$69,999","Right Direction"
"2106","Under $5,000","Wrong Track"
"2107",NA,"Wrong Track"
"2108","$55,000-$59,999","Wrong Track"
"2109","Under $5,000","Wrong Track"
"2110","$20,000-$22,499","Right Direction"
"2111","$150,000-$174,999","Right Direction"
"2112","$70,000-$74,999","Wrong Track"
"2113","$125,000-$149,999","Right Direction"
"2114","Under $5,000","Wrong Track"
"2115","$25,000-$27,499","Wrong Track"
"2116","$110,000-$124,999","Right Direction"
"2117","Under $5,000","Right Direction"
"2118","$50,000-$54,999","Right Direction"
"2119","$175,000-$249,999","Wrong Track"
"2120","$75,000-$79,999","Wrong Track"
"2121","$20,000-$22,499","Wrong Track"
"2122","$12,500-$14,999","Right Direction"
"2123","Under $5,000","Right Direction"
"2124","$60,000-$64,999","Wrong Track"
"2125","$70,000-$74,999","Wrong Track"
"2126","$125,000-$149,999","Wrong Track"
"2127","$25,000-$27,499","Wrong Track"
"2128","$10,000-$12,499","Wrong Track"
"2129","$30,000-$34,999","Wrong Track"
"2130","$250,000 Or More","Right Direction"
"2131","$50,000-$54,999","Wrong Track"
"2132","$15,000-$17,499","Wrong Track"
"2133","$100,000-$109,999","Wrong Track"
"2134","Under $5,000","Right Direction"
"2135","$10,000-$12,499","Wrong Track"
"2136","$15,000-$17,499","Wrong Track"
"2137","$15,000-$17,499","Wrong Track"
"2138","Under $5,000","Right Direction"
"2139","$50,000-$54,999","Wrong Track"
"2140","$50,000-$54,999","Wrong Track"
"2141","$65,000-$69,999","Right Direction"
"2142","$20,000-$22,499","Wrong Track"
"2143","$100,000-$109,999","Wrong Track"
"2144","$65,000-$69,999","Wrong Track"
"2145","$100,000-$109,999","Right Direction"
"2146","$5,000-$9,999","Wrong Track"
"2147","$75,000-$79,999","Wrong Track"
"2148","$150,000-$174,999","Wrong Track"
"2149","$30,000-$34,999","Right Direction"
"2150","$90,000-$99,999","Wrong Track"
"2151","$35,000-$39,999","Right Direction"
"2152","Under $5,000","Wrong Track"
"2153","$90,000-$99,999","Wrong Track"
"2154","Under $5,000","Wrong Track"
"2155","$45,000-$49,999","Right Direction"
"2156","$45,000-$49,999","Right Direction"
"2157","$50,000-$54,999","Wrong Track"
"2158","$30,000-$34,999","Wrong Track"
"2159","$22,500-$24,999","Right Direction"
"2160","Under $5,000","Wrong Track"
"2161","$10,000-$12,499","Wrong Track"
"2162","$75,000-$79,999","Right Direction"
"2163","$60,000-$64,999","Wrong Track"
"2164","$90,000-$99,999","Wrong Track"
"2165","$80,000-$89,999","Right Direction"
"2166","$70,000-$74,999","Wrong Track"
"2167","Under $5,000","Wrong Track"
"2168","$15,000-$17,499","Wrong Track"
"2169","$35,000-$39,999","Right Direction"
"2170","Under $5,000","Wrong Track"
"2171","$175,000-$249,999","Wrong Track"
"2172","$60,000-$64,999","Wrong Track"
"2173","$250,000 Or More","Wrong Track"
"2174","$25,000-$27,499","Wrong Track"
"2175","Under $5,000","Right Direction"
"2176","$25,000-$27,499","Wrong Track"
"2177","$110,000-$124,999","Wrong Track"
"2178","$30,000-$34,999","Right Direction"
"2179","$110,000-$124,999","Wrong Track"
"2180","$250,000 Or More","Right Direction"
